,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,100,NZ,1562903958,89,-46.19,168.86,48.99,1.01
1,Ulaangom,100,MN,1562903960,92,49.98,92.07,54.72,6.04
2,Verkhoyansk,82,RU,1562903961,33,67.55,133.39,80.75,5.91
3,Ushuaia,75,AR,1562903962,99,-54.81,-68.31,39.2,14.99
4,Qorveh,0,IR,1562903963,25,35.17,47.8,68.82,3.29
5,Kitui,99,KE,1562903964,86,-1.37,38.02,64.57,2.82
6,Vaini,90,IN,1562903966,94,15.34,74.49,73.4,4.7
7,Punta Arenas,90,CL,1562903967,93,-53.16,-70.91,39.2,16.11
8,Magistralnyy,91,RU,1562903968,79,56.17,107.45,65.4,7.36
9,Alyangula,99,AU,1562903969,51,-13.85,136.42,82.4,9.17
10,Bredasdorp,96,ZA,1562903971,87,-34.53,20.04,55.4,1.12
11,Mar del Plata,0,AR,1562903972,67,-46.43,-67.52,40.0,7.07
12,Fairlie,1,US,1562903973,69,33.31,-95.96,84.0,4.7
13,Severo-Kurilsk,100,RU,1562903974,96,50.68,156.12,43.58,7.16
14,Lujan,0,AR,1562903976,67,-46.57,-67.67,40.0,7.07
15,Castro,90,CL,1562903977,93,-42.48,-73.76,46.4,14.99
16,Lavrentiya,0,RU,1562903978,31,65.58,-170.99,73.16,7.99
17,Moron,11,HT,1562903979,80,18.56,-74.26,80.03,3.31
18,Hithadhoo,0,MV,1562903980,75,-0.6,73.08,84.17,10.71
19,Nioki,52,CD,1562903982,78,-2.72,17.69,72.69,3.4
20,Saint-Philippe,90,CA,1562903983,93,45.36,-73.48,68.0,3.36
21,Menomonie,1,US,1562903984,77,44.88,-91.92,68.0,3.94
22,Zelenchukskaya,100,RU,1562903985,98,43.85,41.59,58.29,1.88
23,Hilo,75,US,1562903986,65,19.71,-155.08,80.6,5.82
24,Albany,90,US,1562903988,100,42.65,-73.75,75.2,4.97
25,Povolzhskiy,40,RU,1562903989,93,53.59,49.76,60.8,6.71
26,Kapaa,20,US,1562903855,69,22.08,-159.32,82.4,12.75
27,Puerto Ayora,0,EC,1562903991,93,-0.74,-90.35,71.01,4.0
28,New Norfolk,20,AU,1562903992,61,-42.78,147.06,48.2,23.04
29,Saldanha,0,PT,1562903994,47,41.42,-6.55,71.79,3.09
30,Utiel,0,ES,1562903995,78,39.57,-1.21,75.0,3.36
31,Talnakh,90,RU,1562903996,93,69.49,88.39,53.6,15.66
32,Kathu,0,ZA,1562903997,58,-27.7,23.05,36.0,2.93
33,Cape Town,75,ZA,1562903966,87,-33.93,18.42,55.0,11.41
34,Enid,1,US,1562903972,64,36.4,-97.88,78.01,4.7
35,Yar-Sale,97,RU,1562904001,74,66.83,70.83,62.98,15.79
36,Alexandria,0,RO,1562904002,90,43.97,25.33,55.0,8.03
37,Upernavik,67,GL,1562904003,93,72.79,-56.15,43.8,11.14
38,Puerto Ayacucho,75,CO,1562904005,94,5.66,-67.63,75.2,1.03
39,Egvekinot,9,RU,1562903906,26,66.32,-179.17,78.86,10.65
40,Razole,100,IN,1562904008,66,16.48,81.84,87.38,9.26
41,Tecoanapa,75,MX,1562904009,79,16.99,-99.26,84.2,1.03
42,Khash,0,IR,1562904011,21,28.22,61.21,79.74,5.12
43,Cherskiy,98,RU,1562904012,30,68.75,161.3,83.52,3.11
44,Villa Union,28,BO,1562904013,70,-10.79,-65.46,73.41,0.89
45,Ostrovnoy,100,RU,1562904015,98,68.05,39.51,40.52,24.61
46,Arraial do Cabo,0,BR,1562904016,71,-22.97,-42.02,64.98,5.55
47,Tacuarembo,100,UY,1562903786,90,-31.73,-55.98,61.6,12.35
48,Yellowknife,75,CA,1562903954,72,62.45,-114.38,60.8,8.05
49,Goundam,10,ML,1562904020,37,16.42,-3.66,91.5,6.91
50,Bridlington,0,GB,1562904021,93,54.08,-0.19,57.99,5.82
51,Constitucion,90,MX,1562904022,82,23.99,-104.67,60.8,4.7
52,Pevek,73,RU,1562904023,72,69.7,170.27,48.32,3.36
53,Paragominas,12,BR,1562904024,98,-3.0,-47.35,70.18,3.22
54,Altona,1,US,1562904026,83,41.11,-90.16,75.2,5.23
55,Atuona,25,PF,1562904027,78,-9.8,-139.03,80.97,18.72
56,Faanui,7,PF,1562904028,69,-16.48,-151.75,78.27,5.59
57,Torbay,90,CA,1562904029,100,47.66,-52.73,48.0,10.29
58,Port Elizabeth,75,US,1562904031,100,39.31,-74.98,73.99,3.36
59,Carnarvon,0,ZA,1562904032,39,-30.97,22.13,44.34,2.53
60,Georgetown,40,GY,1562903802,100,6.8,-58.16,75.2,2.24
61,Airai,6,TL,1562904034,41,-8.93,125.41,84.46,1.16
62,Belaya Gora,67,RU,1562904036,46,68.54,146.19,74.92,9.48
63,Tiksi,99,RU,1562904037,69,71.64,128.87,56.11,12.03
64,Almaznyy,20,RU,1562904038,82,48.03,40.04,62.6,4.47
65,Whitianga,100,NZ,1562904039,97,-36.83,175.7,59.0,3.0
66,Cidreira,100,BR,1562904041,73,-30.17,-50.22,61.15,8.93
67,Berlevag,0,NO,1562904042,70,70.86,29.09,48.2,2.24
68,Mogok,100,MM,1562904043,81,22.92,96.51,74.22,4.7
69,Atar,5,MR,1562904044,28,20.52,-13.05,84.03,1.36
70,Rikitea,0,PF,1562904046,81,-23.12,-134.97,73.35,14.32
71,Dikson,100,RU,1562904047,88,73.51,80.55,35.43,13.33
72,Oistins,20,BB,1562903806,74,13.07,-59.53,82.4,19.46
73,Tasiilaq,6,GL,1562904049,93,65.61,-37.64,41.0,4.7
74,Kodiak,1,US,1562904051,43,39.95,-94.76,73.4,3.36
75,Muros,20,ES,1562904052,100,42.77,-9.06,69.01,19.44
76,Biu,95,NG,1562904053,92,10.61,12.19,68.66,6.87
77,Nara,75,JP,1562904054,65,34.68,135.8,86.0,2.24
78,Noumea,0,NC,1562903763,53,-22.28,166.46,75.2,16.11
79,Sitka,59,US,1562904056,67,37.17,-99.65,73.0,4.0
80,Port Lincoln,100,AU,1562904058,70,-34.72,135.86,55.7,31.14
81,Doha,0,QA,1562903832,36,25.29,51.53,95.0,6.93
82,Hobart,20,AU,1562903959,61,-42.88,147.33,48.2,23.04
83,Tucurui,6,BR,1562903949,77,-3.77,-49.67,73.52,2.01
84,Katsuura,75,JP,1562904062,54,33.93,134.5,84.2,12.75
85,Hermanus,100,ZA,1562904064,99,-34.42,19.24,53.01,13.62
86,Wattegama,78,LK,1562904065,66,7.35,80.68,81.78,4.41
87,Busselton,100,AU,1562904066,50,-33.64,115.35,62.01,7.29
88,Usinsk,53,RU,1562904067,66,66.0,57.56,51.16,14.2
89,Kaeo,35,NZ,1562904069,89,-35.1,173.78,61.0,3.0
90,Codrington,0,AU,1562904070,31,-28.95,153.24,75.2,12.75
91,Dingle,73,PH,1562904071,72,11.0,122.67,84.08,5.86
92,Waipawa,100,NZ,1562904072,79,-39.94,176.59,53.01,3.0
93,Kutum,100,SD,1562904073,53,14.2,24.66,74.49,0.56
94,Mengyin,100,CN,1562904075,48,35.71,117.93,84.19,5.06
95,Narsaq,0,GL,1562904076,75,60.91,-46.05,46.4,3.36
96,Saint George,20,GR,1562904077,88,39.45,22.34,62.6,4.7
97,Sibolga,50,ID,1562904079,75,1.74,98.78,81.63,5.08
98,Dognecea,0,RO,1562904080,93,45.27,21.76,57.0,2.24
99,Walvis Bay,90,NA,1562904081,93,-22.95,14.51,55.4,3.36
100,Kenai,90,US,1562904082,82,60.55,-151.26,63.0,11.41
101,Bluff,0,AU,1562904083,32,-23.58,149.07,72.13,2.84
102,Ancud,90,CL,1562904085,93,-41.87,-73.83,46.4,14.99
103,Harper,1,US,1562904086,73,30.3,-99.24,82.4,6.31
104,Yinchuan,100,CN,1562904087,29,38.48,106.21,79.18,7.05
105,Leiyang,100,CN,1562904088,82,26.42,112.85,82.39,6.64
106,Dolores,99,UY,1562904089,97,-33.53,-58.22,60.18,4.12
107,Boda,100,CF,1562904091,94,4.32,17.47,67.36,1.68
108,Laurel,100,US,1562904092,100,39.1,-76.85,73.99,5.99
109,Yamada,75,JP,1562904093,69,36.58,137.08,82.0,17.22
110,East London,0,ZA,1562903839,87,-33.02,27.91,57.2,13.87
111,Clyde River,90,CA,1562904095,100,70.47,-68.59,37.4,11.41
112,Monaghan,75,GB,1562904097,87,54.25,-6.97,60.01,11.41
113,Cockburn Town,2,TC,1562904098,82,21.46,-71.14,81.47,17.43
114,Vostok,100,RU,1562904099,35,46.45,135.83,81.88,3.36
115,Weligama,99,LK,1562904100,78,5.97,80.42,82.91,10.85
116,Mujiayingzi,29,CN,1562904102,42,42.12,118.78,76.52,8.39
117,Port Alfred,98,ZA,1562904103,78,-33.59,26.89,61.0,7.0
118,Ormara,79,PK,1562904104,65,25.21,64.64,84.08,4.7
119,Oranjemund,0,ZA,1562904105,87,-28.55,16.43,55.12,12.62
120,Lure,0,FR,1562904106,82,47.69,6.5,63.0,5.82
121,Jamestown,100,AU,1562904108,73,-33.21,138.6,52.67,20.58
122,Port Hawkesbury,1,CA,1562904109,93,45.62,-61.36,55.0,6.93
123,Sao Filipe,0,CV,1562904110,87,14.9,-24.5,71.97,17.09
124,Boden,0,SE,1562904111,76,65.83,21.69,53.6,4.7
125,Karratha,0,AU,1562904113,16,-20.74,116.85,82.61,19.55
